"Species_num","Species","Year2015","nsites","prevalence","mean_elev","min_elev","max_elev","mean_SDD","mean_gdd","mean_fdd","mean_moist","r_prev","s_prev","c_prev"
1,"Anemone occidentalis",TRUE,5,0.146666666666667,1831,1791,1901,154.909090909091,652.056110879272,0,36.0909090909091,0.0740740740740741,0.296296296296296,0.0357142857142857
2,"Antennaria lanata",TRUE,2,0.04,1791,1791,1791,149,631.917295059428,0,48.3333333333333,0,0.0740740740740741,0.0357142857142857
3,"Arnica latifolia",TRUE,7,0.12,1668.11111111111,1570,1901,139.666666666667,556.500343753159,-1.36075384776489,42.3333333333333,0.111111111111111,0.148148148148148,0.0714285714285714
4,"Aster alpigenus",TRUE,16,0.266666666666667,1676.95,1490,1901,145.45,624.801985659459,0,62.65,0.111111111111111,0.111111111111111,0.5
5,"Aster ledophyllus",TRUE,7,0.106666666666667,1570,1570,1570,126.125,483.4142773528,-5.91198995647376,40.125,0.0740740740740741,0.185185185185185,0.0357142857142857
6,"Caltha leptosepala",TRUE,0,0.0133333333333333,1490,1490,1490,130,534.995233107312,0,92,0,0,0.0357142857142857
7,"Cassiope mertensiana",TRUE,6,0.133333333333333,1801.8,1680,1901,160,653.487544640698,0,52.3,0.037037037037037,0.0740740740740741,0.25
8,"Castilleja miniata",TRUE,2,0.04,1680.33333333333,1570,1901,128,473.852634826324,-11.683045007302,39.6666666666667,0.037037037037037,0.0740740740740741,0
9,"Castilleja parviflora",TRUE,23,0.346666666666667,1799.26923076923,1570,1901,150.807692307692,623.043410834021,-0.471030178072462,38.5769230769231,0.296296296296296,0.407407407407407,0.25
10,"Claytonia sibirica",TRUE,0,0.0133333333333333,1791,1791,1791,147,651.713141882172,0,34,0,0.037037037037037,0
12,"Erigeron peregrinus",TRUE,17,0.293333333333333,1693.13636363636,1490,1791,145.454545454545,627.776147892353,-0.123296926951182,47.7272727272727,0.148148148148148,0.333333333333333,0.321428571428571
13,"Erythronium grandifloru",TRUE,1,0.0133333333333333,1791,1791,1791,147,651.713141882172,0,34,0,0.037037037037037,0
14,"Erythronium montanum",TRUE,29,0.493333333333333,1610.10810810811,1490,1791,134.594594594595,555.853072227443,-1.17376098380365,50.5608108108108,0.592592592592593,0.518518518518518,0.285714285714286
15,"Gentiana calycosa",TRUE,6,0.106666666666667,1701.875,1490,1791,145.375,626.915198210771,0,64,0.148148148148148,0.037037037037037,0.107142857142857
16,"Hieracium gracile",TRUE,13,0.32,1769.04166666667,1490,1901,151.875,633.196363543814,-0.510282692911834,42.9166666666667,0.222222222222222,0.333333333333333,0.321428571428571
17,"Kalmia microphylla",TRUE,1,0.0133333333333333,1490,1490,1490,129,524.967434887222,0,113,0,0,0.0357142857142857
18,"Ligusticum grayi",TRUE,30,0.506666666666667,1661.92105263158,1490,1791,141.894736842105,605.949611315104,-0.393666237442369,50.7894736842105,0.296296296296296,0.592592592592593,0.5
19,"Lomatium martindalei",TRUE,3,0.0666666666666667,1901,1901,1901,156.2,632.946286727383,0,27.2,0.148148148148148,0.037037037037037,0
20,"Luetkea pectinata",TRUE,18,0.306666666666667,1754.91304347826,1490,1901,153.260869565217,645.2233779064,0,44.4347826086956,0.185185185185185,0.259259259259259,0.392857142857143
21,"Lupinus arcticus",TRUE,46,0.706666666666667,1686.07547169811,1490,1901,142.339622641509,590.147414894666,-1.38256429121647,46.2830188679245,0.518518518518518,0.888888888888889,0.535714285714286
22,"Microceris alpestris",TRUE,7,0.213333333333333,1776.9375,1570,1901,151,624.853381612247,0,34.1875,0.0740740740740741,0.407407407407407,0.107142857142857
23,"Mitella breweri",TRUE,2,0.08,1490,1490,1490,133.333333333333,585.436764102679,0,72.8333333333333,0.037037037037037,0.148148148148148,0.0357142857142857
24,"Pedicularis bracteosa",TRUE,11,0.186666666666667,1682.57142857143,1490,1791,138.142857142857,577.715282726782,-1.06852264448643,44.5714285714286,0.185185185185185,0.259259259259259,0.0714285714285714
25,"Pedicularis contorta",TRUE,8,0.12,1815.33333333333,1680,1901,148.111111111111,620.224211165265,0,36.3333333333333,0.111111111111111,0.222222222222222,0
26,"Pedicularis groendlandi",TRUE,1,0.0266666666666667,1490,1490,1490,132.5,572.158827810992,0,109.5,0,0,0.0714285714285714
27,"Pedicularis ornithorhyn",TRUE,8,0.133333333333333,1735.5,1680,1791,154.1,652.170453059298,0,58,0,0,0.357142857142857
28,"Pedicularis racemosa",TRUE,25,0.4,1655.9,1490,1901,134.6,532.518124056458,-1.9462824474515,44.3333333333333,0.740740740740741,0.333333333333333,0.0357142857142857
29,"Penstemon confertus",TRUE,7,0.0933333333333333,1901,1901,1901,156.428571428571,635.42504226056,0,28,0.148148148148148,0.111111111111111,0
30,"Phlox diffusa",TRUE,9,0.133333333333333,1857,1791,1901,151,638.135791788692,0,30.2,0.185185185185185,0.185185185185185,0
31,"Phyllodoce empetriformi",TRUE,19,0.346666666666667,1728.65384615385,1490,1901,149.346153846154,635.524442220181,0,52.0769230769231,0.259259259259259,0.333333333333333,0.357142857142857
32,"Phyllodoce glanduliflor",TRUE,4,0.0933333333333333,1838,1680,1901,161.571428571429,651.33285679489,0,39.7142857142857,0.111111111111111,0.037037037037037,0.107142857142857
33,"Polemonium californicum",TRUE,1,0.04,1606.66666666667,1570,1680,124,448.922951530074,-4.94932554132269,47,0.037037037037037,0.0740740740740741,0
34,"Polygonum bistortoides",TRUE,23,0.413333333333333,1673.22580645161,1570,1791,141,598.727691179881,-0.877616182344969,44.5806451612903,0.333333333333333,0.444444444444444,0.357142857142857
35,"Potentilla flabellifoli",TRUE,16,0.293333333333333,1645.72727272727,1490,1791,144.863636363636,628.592966061923,0,51.4545454545455,0.185185185185185,0.148148148148148,0.464285714285714
36,"Rhododendron albiflorum",TRUE,3,0.0533333333333333,1490,1490,1490,128.75,540.570505483636,-2.2837944213385,64.5,0.0740740740740741,0.0740740740740741,0
37,"Ribes acerifolium",TRUE,3,0.04,1680,1680,1680,127.333333333333,458.762365661531,0,48.6666666666667,0.037037037037037,0.0740740740740741,0
38,"Rubus lasiococcus",TRUE,13,0.28,1577.61904761905,1490,1680,128.190476190476,504.226748918198,-2.04905151662529,56.4285714285714,0.518518518518518,0.259259259259259,0
39,"Salix barclayi",TRUE,0,0.04,1490,1490,1490,131.666666666667,559.770962909765,0,107,0,0,0.107142857142857
40,"Saxifraga tolmei",TRUE,2,0.0533333333333333,1846,1791,1901,165.5,658.036853682069,0,40.5,0,0.037037037037037,0.107142857142857
41,"Sorbus sitchensis",TRUE,1,0.226666666666667,1553.58823529412,1490,1791,132.294117647059,547.48864420434,-1.67469643399559,55.7058823529412,0.333333333333333,0.222222222222222,0.0714285714285714
42,"Spiraea splendens",TRUE,5,0.106666666666667,1500,1490,1570,130.625,547.999777806348,-1.14189721066925,77,0.0740740740740741,0.037037037037037,0.178571428571429
43,"Vaccinium deliciosum",TRUE,30,0.546666666666667,1652,1490,1901,140.146341463415,582.773770412585,-1.50597126156473,50.6341463414634,0.481481481481481,0.592592592592593,0.428571428571429
44,"Vaccinium membranaceum",TRUE,17,0.346666666666667,1570,1490,1680,128.846153846154,512.316576599877,-2.12603332611596,55.6153846153846,0.481481481481481,0.444444444444444,0.0357142857142857
45,"Valeriana sitchensis",TRUE,24,0.52,1626.33333333333,1490,1791,134.230769230769,548.30399172795,-2.02323733819087,49.5641025641026,0.666666666666667,0.592592592592593,0.178571428571429
46,"Veratrum viride",TRUE,5,0.4,1639.2,1490,1791,135,549.454015681729,-2.02119669395787,48.6333333333333,0.518518518518518,0.444444444444444,0.142857142857143
47,"Veronica cusickii",TRUE,16,0.28,1838.09523809524,1680,1901,153.571428571429,644.773912654646,0,38.0476190476191,0.296296296296296,0.37037037037037,0.107142857142857
48,"Xerophyllum tenax",TRUE,0,0.08,1503.33333333333,1490,1570,128.666666666667,541.62763136587,-3.04505922845133,67.8333333333333,0.111111111111111,0.111111111111111,0
